name,position,team,price_eur,max_price,min_price,status,playerId,remote_player,teamId,remote_team,url,lastMarket_1d,lastMarket_3d,lastMarket_7d,injured,doubt
Mbappé,delantero,Real Madrid,24890000,25930000,22510000,Disponible,154175,19577,2,15,mbappe,10000,70000,120000,0,0
Yamal,delantero,Barcelona,21300000,22440000,16440000,Disponible,153380,26271,5,3,yamal,90000,180000,260000,0,0
Raphinha,delantero,Barcelona,18980000,18980000,14320000,Disponible,151831,26930,5,3,raphinha,180000,520000,860000,0,0
Bellingham,mediocentro,Real Madrid,17860000,17860000,15350000,Disponible,153062,30477,2,15,bellingham,100000,290000,580000,0,0
Vinícius Jr,delantero,Real Madrid,17110000,18310000,17110000,Disponible,616,15568,2,15,vinicius-jr,-110000,-300000,-420000,0,0
Pedri,mediocentro,Barcelona,15430000,18590000,14980000,Disponible,15359,19441,5,3,pedri,80000,180000,220000,0,0
Fermín,mediocentro,Barcelona,13940000,13940000,8700000,Disponible,153324,31243,5,3,fermin,200000,440000,670000,0,0
Rodri,mediocentro,Barcelona,12210000,12860000,11220000,Disponible,476,429,5,3,rodri,30000,-210000,-630000,0,0
Oyarzabal,delantero,Real Sociedad,11870000,14900000,11720000,Disponible,382,2603,16,13,oyarzabal,0,10000,30000,0,0
Gordon,delantero,Barcelona,11670000,11670000,9590000,Disponible,157671,41200,5,3,gordon,110000,400000,720000,0,0
Valverde,mediocentro,Real Madrid,11580000,12440000,11310000,Disponible,729,9402,2,15,valverde,-100000,-90000,-30000,0,0
Aubameyang,delantero,Deportivo,11490000,11490000,3550000,Disponible,151523,25769,8,6,aubameyang,280000,770000,1190000,0,0
Arda Güler,mediocentro,Real Madrid,11180000,11180000,6200000,Disponible,153276,31027,2,15,arda-guler,210000,580000,910000,0,0
Pépé,delantero,Villarreal,11150000,11150000,8510000,Disponible,154472,34479,20,19,pepe,80000,160000,210000,0,0
Budimir,delantero,Osasuna,10990000,12470000,10330000,Disponible,6169,18398,15,93,budimir,130000,270000,420000,0,0
Antony,delantero,Betis,10960000,10960000,9480000,Disponible,154737,35770,6,87,antony,50000,90000,120000,0,0
Diomande,delantero,Real Madrid,10820000,14600000,10820000,Disponible,154804,8555,2,15,diomande,-240000,-790000,-1250000,0,0
Mikautadze,delantero,Villarreal,10340000,10770000,8450000,Disponible,156364,38962,20,19,mikautadze,-230000,-420000,-400000,0,0
Baena,mediocentro,Atlético,9840000,9840000,5160000,Disponible,150234,19547,4,2,baena,100000,400000,750000,0,0
Cucurella,defensa,Real Madrid,9760000,12740000,9760000,Disponible,5795,15410,2,15,cucurella,-120000,-420000,-580000,0,0
Dani Olmo,mediocentro,Barcelona,9520000,11660000,9490000,Disponible,154493,34527,5,3,dani-olmo,30000,-20000,-160000,0,0
Cubarsí,defensa,Barcelona,9500000,10680000,9220000,Disponible,153580,32440,5,3,cubarsi,10000,-50000,-160000,0,0
Joan García,portero,Barcelona,9210000,10640000,8960000,Disponible,151524,15430,5,3,joan-garcia,-40000,-170000,-380000,0,0
Jonathan David,delantero,Atlético,9190000,10470000,9190000,Disponible,158259,43263,4,2,jonathan-david,-320000,-900000,-1280000,0,0
Kang-in Lee,mediocentro,Atlético,8880000,8880000,3680000,Disponible,6046,17687,4,2,kang-in-lee,40000,210000,450000,0,0
Pape Gueye,mediocentro,Villarreal,8850000,8850000,6530000,Disponible,152893,30081,20,19,pape-gueye,0,30000,60000,0,0
Adeyemi,delantero,Barcelona,8380000,8640000,7270000,Disponible,158096,42557,5,3,adeyemi,-60000,-140000,-240000,0,0
Isco,mediocentro,Betis,8180000,10820000,8180000,Disponible,349,1249,6,87,isco,-40000,-140000,-340000,0,0
Eric García,defensa,Barcelona,8160000,9600000,7740000,Golpe en el tabique nasal,150837,20,5,3,eric-garcia,-160000,-220000,-270000,0,1
Bernardo Silva,mediocentro,Real Madrid,8070000,10200000,8070000,Disponible,157810,41086,2,15,bernardo-silva,-170000,-480000,-750000,0,0
Fornals,mediocentro,Betis,7950000,12600000,7950000,Disponible,888,2597,6,87,fornals,-70000,-240000,-500000,0,0
Lookman,delantero,Atlético,7950000,9370000,6800000,Disponible,156534,39941,4,2,lookman,-230000,-230000,-180000,0,0
Barrios,mediocentro,Atlético,7800000,7800000,3420000,Disponible,152816,29184,4,2,barrios,60000,230000,430000,0,0
Julián Alvarez,delantero,Atlético,7760000,11090000,6660000,Disponible,154501,34557,4,2,julian-alvarez,10000,10000,-110000,0,0
Nico Williams,delantero,Athletic,7750000,9180000,5820000,Disponible,151231,21008,1,1,nico-williams,60000,30000,-220000,0,0
Moleiro,mediocentro,Villarreal,7650000,9760000,7650000,Disponible,153066,30495,20,19,moleiro,-80000,-230000,-410000,0,0
Ez Abde,delantero,Betis,7610000,10800000,7610000,Proceso vírico,151437,25127,6,87,ez-abde,-20000,-170000,-180000,0,0
Cancelo,defensa,Barcelona,6910000,9310000,6910000,Disponible,440,1952,5,3,cancelo,-170000,-400000,-770000,0,0
Parrott,delantero,Betis,6550000,8740000,6550000,Disponible,158217,42748,6,87,parrott,-10000,-40000,-290000,0,0
Iñigo Vicente,delantero,Racing,6470000,6470000,3270000,Disponible,16017,18564,878,812,inigo-vicente,30000,90000,170000,0,0
Gerard Moreno,delantero,Villarreal,6440000,7360000,6290000,Disponible,221,1927,20,19,gerard-moreno,10000,-40000,-80000,0,0
Pubill,defensa,Atlético,6420000,6510000,5380000,Disponible,151460,25398,4,2,pubill,-10000,30000,90000,0,0
Gabriel Jesus,delantero,Barcelona,6310000,6310000,6110000,Disponible,158260,42517,5,3,gabriel-jesus,30000,110000,200000,0,0
Courtois,portero,Real Madrid,6200000,7080000,4270000,Disponible,5651,16738,2,15,courtois,-50000,-170000,-310000,0,0
Canales,mediocentro,Racing,6100000,7790000,4020000,Disponible,369,947,878,812,canales,30000,-30000,-230000,0,0
Yeremay Hernández,delantero,Deportivo,6060000,9170000,6060000,Disponible,157797,41082,8,6,yeremay-hernandez,-30000,-110000,-230000,0,0
Carlos Romero,defensa,Villarreal,6010000,7480000,6010000,molestias sin determinar,153483,26566,20,19,carlos-romero,-180000,-370000,-540000,0,1
Cucho,delantero,Betis,5970000,7600000,5970000,Disponible,4550,10276,6,87,cucho,-120000,-390000,-620000,0,0
Roberto Fernández,delantero,Espanyol,5960000,5960000,2200000,Disponible,154716,35678,10,7,roberto-fernandez,80000,260000,470000,0,0
Marcos Llorente,defensa,Atlético,5940000,6450000,5490000,Disponible,16,2600,4,2,marcos-llorente,-60000,-60000,-30000,0,0
Giuliano Simeone,mediocentro,Atlético,5840000,6090000,5250000,Disponible,153191,30789,4,2,giuliano-simeone,-210000,-230000,-190000,0,0
Sancet,mediocentro,Athletic,5780000,6370000,3140000,Disponible,5723,17057,1,1,sancet,80000,100000,50000,0,0
David Soria,portero,Getafe,5720000,5790000,4990000,Disponible,385,11,23,8,david-soria,-20000,-50000,-70000,0,0
Leo Román,portero,Deportivo,5610000,5610000,3440000,Disponible,3131,14630,8,6,leo-roman,10000,30000,50000,0,0
Fran García,defensa,Betis,5480000,5850000,2850000,Disponible,150976,5220,6,87,fran-garcia,-10000,-50000,-170000,0,0
Huijsen,defensa,Real Madrid,5450000,5450000,3930000,Disponible,155743,37495,2,15,huijsen,70000,190000,280000,0,0
Konaté,defensa,Real Madrid,5430000,7060000,5430000,Disponible,157811,41087,2,15,konate,-40000,-120000,-330000,0,0
Kubo,mediocentro,Real Sociedad,5390000,5770000,4490000,Disponible,6946,20102,16,13,kubo,-50000,-200000,-310000,0,0
Grimaldo,defensa,Atlético,5360000,7060000,5280000,Disponible,157933,41684,4,2,grimaldo,-170000,-320000,-470000,0,0
Gerard Martín,defensa,Barcelona,5330000,5330000,4000000,Disponible,154609,34111,5,3,gerard-martin,20000,50000,80000,0,0
Laporte,defensa,Athletic,5280000,5610000,3280000,Disponible,31,1613,1,1,laporte,40000,40000,30000,0,0
Cristian Romero,defensa,Atlético,5200000,6800000,5200000,Disponible,158185,15828,4,2,cristian-romero,-60000,-160000,-300000,0,0
